symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
VBF,Invesco Bond Fund,19.55,22242e4,NA,NA,NA,http://www.nasdaq.com/symbol/vbf,NYSE
VCV,Invesco California Value Municipal Income Trust,12.63,60454e4,NA,NA,NA,http://www.nasdaq.com/symbol/vcv,NYSE
VTA,Invesco Credit Opportunities Fund,11.52,85357e4,2007,NA,NA,http://www.nasdaq.com/symbol/vta,NYSE
IHIT,Invesco High Income 2023 Target Term Fund,9.79,23439e4,2016,NA,NA,http://www.nasdaq.com/symbol/ihit,NYSE
IHTA,Invesco High Income 2024 Target Term Fund,10.01,8108e4,2017,NA,NA,http://www.nasdaq.com/symbol/ihta,NYSE
VLT,Invesco High Income Trust II,14.47,11747e4,1989,NA,NA,http://www.nasdaq.com/symbol/vlt,NYSE
IVR,INVESCO MORTGAGE CAPITAL INC,18.64,208e7,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ivr,NYSE
IVR^B,INVESCO MORTGAGE CAPITAL INC,25.65,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ivr^b,NYSE
IVR^C,INVESCO MORTGAGE CAPITAL INC,24.96,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ivr^c,NYSE
IVR^A,Invesco Mortgage Capital Inc.,25.36,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ivr^a,NYSE
OIA,Invesco Municipal Income Opportunities Trust,8,37964e4,NA,NA,NA,http://www.nasdaq.com/symbol/oia,NYSE
VMO,Invesco Municipal Opportunity Trust,12.36,83324e4,NA,NA,NA,http://www.nasdaq.com/symbol/vmo,NYSE
VKQ,Invesco Municipal Trust,12.48,6904e5,NA,NA,NA,http://www.nasdaq.com/symbol/vkq,NYSE
VPV,Invesco Pennsylvania Value Municipal Income Trust,12.1,28834e4,NA,NA,NA,http://www.nasdaq.com/symbol/vpv,NYSE
IVZ,Invesco Plc,36.56,1488e7,NA,Finance,Investment Managers,http://www.nasdaq.com/symbol/ivz,NYSE
