symbol,name,exchange
CPX.PR.E,Capital Power Corporation,TSX
CPX.PR.G,Capital Power Corporation,TSX
CPX.PR.I,Capital Power Corporation,TSX
CSE.PR.A,Capstone Infrastructure Corporation,TSX
CS,Capstone Mining Corp.,TSX
CARA,Cara Operations Limited,TSX
CJ,Cardinal Energy Ltd.,TSX
CJ.DB,Cardinal Energy Ltd.,TSX
CDV,Cardinal Resources Limited,TSX
COM,Cardiome Pharma Corp.,TSX
CJT,Cargojet Inc.,TSX
CJT.A,Cargojet Inc.,TSX
CJT.DB.C,Cargojet Inc.,TSX
CUP.U,"Caribbean Utilities Company, Ltd.",TSX
CMH,Carmanah Technologies Corporation,TSX
CAS,Cascades Inc.,TSX
CET,Cathedral Energy Services Ltd.,TSX
CCL.A,CCL Industries Inc.,TSX
CCL.B,CCL Industries Inc.,TSX
CLS,Celestica Inc.,TSX
CVE,Cenovus Energy Inc.,TSX
